"Isocode"	"Colcode"	"spec"	"island"	"sex"	"pop"	"Medium"	"d15N"	"d13C"	"sp_pop"	"sp_island"
"108"	"AB6/F05"	"CRBA003916"	"sil"	"g"	"1f"	"Las Hayas"	"etOH 95%"	4.53919507	-24.84722882	"sil_Las Hayas"	"sil_g"
"111"	"AB6/F12"	"CRBA003908"	"sil"	"g"	"1m"	"Las Hayas"	"etOH 95%"	5.753696448	-23.99598322	"sil_Las Hayas"	"sil_g"
"112"	"AB6/G01"	"CRBA003913"	"sil"	"g"	"1f"	"Las Hayas"	"etOH 95%"	5.86466095	-24.42416078	"sil_Las Hayas"	"sil_g"
"171"	"PR/A12"	"CRBA002877"	"sil"	"h"	"1f"	"Mirador de Bascos"	"etOH95%"	4.384223082	-24.10644888	"sil_Mirador de Bascos"	"sil_h"
"187"	"PR/C05"	"CRBA002858"	"sil"	"h"	"1m"	"Mirador de Bascos"	"EtOH95 2 legs, 70%"	5.933745058	-25.42467605	"sil_Mirador de Bascos"	"sil_h"
"188"	"PR/C06"	"CRBA002859"	"sil"	"h"	"1m"	"Mirador de Bascos"	"EtOH95 2 legs, 70%"	6.401887387	-25.33605619	"sil_Mirador de Bascos"	"sil_h"
"189"	"PR/C07"	"CRBA002860"	"sil"	"h"	"1m"	"Mirador de Bascos"	"EtOH95 2 legs, 70%"	5.341565018	-25.80231752	"sil_Mirador de Bascos"	"sil_h"
"201"	"ST/A2"	"CRBA002866"	"sil"	"h"	"f"	"Mirador de Bascos"	"etOH95%"	6.364833054	-25.57550805	"sil_Mirador de Bascos"	"sil_h"
"205"	"ST/A6"	"CRBA002867"	"sil"	"h"	"f"	"Mirador de Bascos"	"etOH95%"	5.208089373	-25.43971343	"sil_Mirador de Bascos"	"sil_h"
"206"	"ST/A7"	"CRBA002868"	"sil"	"h"	"f"	"Mirador de Bascos"	"etOH95%"	4.175623939	-26.00257228	"sil_Mirador de Bascos"	"sil_h"
"211"	"ST/B3"	"CRBA002869"	"sil"	"h"	"f"	"Mirador de Bascos"	"etOH95%"	5.862409031	-24.38681313	"sil_Mirador de Bascos"	"sil_h"
"212"	"ST/B4"	"CRBA002870"	"sil"	"h"	"f"	"Mirador de Bascos"	"etOH95%"	3.319484906	-25.10317894	"sil_Mirador de Bascos"	"sil_h"
"54"	"AB6/A11"	"CRBA003555"	"sil"	"p"	"1f"	"Pinar de Roque Faro"	"etOH 95%"	5.829184148	-26.84098172	"sil_Pinar de Roque Faro"	"sil_p"
"55"	"AB6/A12"	"CRBA003556"	"sil"	"p"	"1f"	"Pinar de Roque Faro"	"etOH 95%"	4.67854237	-25.67645814	"sil_Pinar de Roque Faro"	"sil_p"
"56"	"AB6/B01"	"CRBA003557"	"sil"	"p"	"1m"	"Pinar de Roque Faro"	"EtOH 95%"	3.880385926	-25.52057703	"sil_Pinar de Roque Faro"	"sil_p"
"68"	"AB6/C01"	"CRBA003561"	"sil"	"p"	"1f"	"Pinar de Roque Faro"	"etOH 95%"	5.412886815	-25.45639069	"sil_Pinar de Roque Faro"	"sil_p"
"74"	"AB6/C07"	"CRBA003559"	"sil"	"p"	"1f"	"Pinar de Roque Faro"	"etOH 95%"	4.440513482	-26.23477741	"sil_Pinar de Roque Faro"	"sil_p"
"81"	"AB6/D02"	"CRBA003562"	"sil"	"p"	"1m"	"Pinar de Roque Faro"	"etOH 95%"	6.257636149	-24.8573182	"sil_Pinar de Roque Faro"	"sil_p"
"83"	"AB6/D04"	"CRBA003579"	"sil"	"p"	"1m"	"Pinar de Roque Faro"	"etOH 95%"	3.872282815	-27.43903539	"sil_Pinar de Roque Faro"	"sil_p"
"86"	"AB6/D07"	"CRBA003560"	"sil"	"p"	"1f"	"Pinar de Roque Faro"	"etOH 95%"	4.671452148	-26.40186566	"sil_Pinar de Roque Faro"	"sil_p"
